"","Location.Name","Rate.Year","Cohort.Graduation.Year","Total.Cohort","Total.Graduated","OffTrack.Other","Dropouts","Graduation.Rate","Dropout.Rate","gradyear","enrollyear"
"915","School District of the City of Inkster (82080)","6-Year",2011,414,292,7,115,0.7053,0.2754,2013,2007
"916","South Redford School District (82140)","4-Year",2013,253,229,12,12,0.9051,0.0435,2013,2009
"917","South Redford School District (82140)","5-Year",2012,273,243,4,26,0.8901,0.0952,2013,2008
"918","South Redford School District (82140)","6-Year",2011,246,219,0,27,0.8862,0.1057,2013,2007
"919","Southgate Community School District (82405)","4-Year",2013,668,302,155,211,0.4506,0.3144,2013,2009
"920","Southgate Community School District (82405)","5-Year",2012,813,400,115,298,0.4908,0.3665,2013,2008
"921","Southgate Community School District (82405)","6-Year",2011,895,444,85,366,0.495,0.4089,2013,2007
"922","Taylor School District (82150)","4-Year",2013,614,468,86,60,0.7622,0.0977,2013,2009
"923","Taylor School District (82150)","5-Year",2012,668,494,33,141,0.7395,0.2096,2013,2008
"924","Taylor School District (82150)","6-Year",2011,639,513,7,119,0.8013,0.1862,2013,2007
"925","Trenton Public Schools (82155)","4-Year",2013,219,206,9,4,0.9361,0.0137,2013,2009
"926","Trenton Public Schools (82155)","5-Year",2012,236,223,4,9,0.9407,0.0339,2013,2008
"927","Trenton Public Schools (82155)","6-Year",2011,242,233,3,6,0.9628,0.0207,2013,2007
"928","Van Buren Public Schools (82430)","4-Year",2013,414,341,33,40,0.8213,0.0966,2013,2009
"929","Van Buren Public Schools (82430)","5-Year",2012,417,354,6,57,0.8489,0.1343,2013,2008
"930","Van Buren Public Schools (82430)","6-Year",2011,472,410,7,55,0.8686,0.1165,2013,2007
"931","Wayne-Westland Community School District (82160)","4-Year",2013,1005,711,155,139,0.7065,0.1383,2013,2009
"932","Wayne-Westland Community School District (82160)","5-Year",2012,1058,793,59,206,0.7495,0.1938,2013,2008
"933","Wayne-Westland Community School District (82160)","6-Year",2011,1048,794,45,209,0.7567,0.1985,2013,2007
"934","Westwood Community School District (82240)","4-Year",2013,515,182,182,151,0.3515,0.2932,2013,2009
"935","Westwood Community School District (82240)","5-Year",2012,479,193,97,189,0.4029,0.3925,2013,2008
"936","Westwood Community School District (82240)","6-Year",2011,491,186,56,249,0.3788,0.5071,2013,2007
"937","Woodhaven-Brownstown School District (82365)","4-Year",2013,430,342,56,32,0.7953,0.0721,2013,2009
"938","Woodhaven-Brownstown School District (82365)","5-Year",2012,386,320,26,40,0.829,0.1036,2013,2008
"939","Woodhaven-Brownstown School District (82365)","6-Year",2011,383,344,2,37,0.8956,0.0966,2013,2007
"940","Wyandotte, School District of the City of (82170)","4-Year",2013,349,293,46,10,0.8367,0.0258,2013,2009
"941","Wyandotte, School District of the City of (82170)","5-Year",2012,305,253,38,14,0.8295,0.0459,2013,2008
"942","Wyandotte, School District of the City of (82170)","6-Year",2011,339,271,51,17,0.7994,0.0501,2013,2007
"943","Academy for Business and Technology (82921)","4-Year",2013,71,58,5,8,0.8169,0.0986,2013,2009
"944","Academy for Business and Technology (82921)","5-Year",2012,70,65,-1,6,0.9143,0.0857,2013,2008
"945","Academy for Business and Technology (82921)","6-Year",2011,52,47,-1,6,0.9038,0.0962,2013,2007
"946","Advanced Technology Academy (63914)","4-Year",2013,113,93,17,3,0.8142,0.0265,2013,2009
"947","Advanced Technology Academy (63914)","5-Year",2012,97,89,3,5,0.9175,0.0515,2013,2008
"948","Advanced Technology Academy (63914)","6-Year",2011,84,82,-1,3,0.9643,0.0357,2013,2007
"949","Aisha Shule/WEB Dubois Prep. Academy School (82903)","4-Year",2013,18,13,-1,6,0.6667,0.2778,2013,2009
